id,tag,density,title,why,image_url,source_url
1,original,muy alta,"Siebel Open UI — Contacts List con árbol lateral, grilla densa y formulario inferior","Navegación lateral/accordion, grilla densa, tabs, toolbar, selector de vista y formulario de detalle en la misma pantalla.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj6bTuCfsddHqkjkoDHNEWrOIJ7pEN_2VvMIOUdtoae_No4ltexJ9J1D5sSzs0dvq57d_K89HJu_aKTkEUVQlThL9s7mxMA5EloXna8aDYqrr-bM_H6eAXn-9JqIMr_KupcdLSP8oRcFqHi/s1600/Tree%2B-%2BGray%2BAccordion.jpg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj6bTuCfsddHqkjkoDHNEWrOIJ7pEN_2VvMIOUdtoae_No4ltexJ9J1D5sSzs0dvq57d_K89HJu_aKTkEUVQlThL9s7mxMA5EloXna8aDYqrr-bM_H6eAXn-9JqIMr_KupcdLSP8oRcFqHi/s1600/Tree%2B-%2BGray%2BAccordion.jpg
2,original,alta,Siebel 1995 — Activity List with Charts,"Lista de actividades, navegación por módulos, barras de herramientas y gráficos dentro de la misma interfaz histórica.",https://www.siebelhub.com/main/wp-content/uploads/2020/03/011_image.png,https://www.siebelhub.com/main/2020/03/25-years-of-siebel-crm.html
3,original,alta,Siebel Mobile Connector — Opportunities Screen,"Grilla superior, tabs intermedios, formulario inferior y campos comerciales de oportunidad, cuenta, revenue y etapa.",https://docs.oracle.com/cd/E63029_01/books/MoblConn/images/Opportunities.gif,https://docs.oracle.com/cd/E63029_01/books/MoblConn/MoblConnAAppDefRef42.html
4,original,alta,Siebel Mobile Connector — Contact Screen,"Contacto con grilla, pestañas de relación y detalle con campos de dirección, teléfono, cuenta y datos personales.",https://docs.oracle.com/cd/E58886_01/books/MoblConn/images/Contacts.gif,https://docs.oracle.com/cd/E58886_01/books/MoblConn/MoblConnAAppDefRef27.html
5,original,muy alta técnica,Siebel Open UI — Manifest / Object Expression,"Pantalla de configuración con UI Objects, Object Expression, niveles, operadores, web template names y botones de indentación.",https://docs.oracle.com/cd/E74890_01/books/ConfigOpenUI/img/manifest_example_2.png,https://docs.oracle.com/cd/E74890_01/books/ConfigOpenUI/customizing_applets_layouts002.htm
6,nuevo,muy alta,Siebel Open UI — Accounts List/Form con menú desplegado,"Menú superior desplegado, tabs principales, grilla de cuentas, selector de búsqueda y formulario inferior con muchos campos.",https://crmcog.com/uploads/2014/what-is-siebel-open-ui.png,https://crmcog.com/what-is-siebel-open-ui/
7,nuevo,muy alta,Siebel Open UI — comparación HI Client vs Open UI,"Dos pantallas completas en una imagen: tabs, applets, formularios, grillas y navegación clásica comparativa.",https://crmcog.com/uploads/2014/siebel-open-ui-vs-siebel-hi.png,https://crmcog.com/what-is-siebel-open-ui/
8,nuevo,muy alta,Siebel Open UI — Floating Form Dialog sobre Account List,"Lista masiva de cuentas de fondo, toolbar, tabs, scroll horizontal y diálogo flotante con campos de detalle superpuesto.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi7of_jbDcOrWldqWoDQpIPwAEcQKbWhcHQHs8UGnTCSpjfzBEnkC9fhGYV-gT5ufYNDJ9CALyaKxd5m3FIrWzXanUAYbmTRzSGDROq-C57g9Q0MMao7Nrrj0y8ABLlvTymXxQqsWIuN-GS/s1600/open-ui-floating-applet-1.png,https://siebelil.blogspot.com/2014/05/siebel-open-ui-form-apart.html
9,nuevo,muy alta técnica,Siebel Open UI — Manifest Administration con UI Objects/Object Expression/Files,"Tres applets administrativos en la misma vista: UI Objects, Object Expression y Files, con grillas y botones de movimiento.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiZOR4Wa6sVoHPpN3FRove-oENrHBgMKzCz4MiXwo70ZQ2tSz3PM1cXTvCtYTsA5NuT5oecWq7DFeXYTvDkvq_TkHP5WdEkrTTSDKfTO_5f-3Kd7m22yLKCrpat-DhGme1yCLTpKLlHezzx/s1600/open-ui-floating-applet-2.png,https://siebelil.blogspot.com/2014/05/siebel-open-ui-form-apart.html
10,nuevo,muy alta,Siebel Open UI — Opportunity List Applet con formato condicional y prompt,"Oportunidades, columnas de revenue/probabilidad, colores condicionales, prompt modal, toolbar, tabs y menú superior.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgLRozxZeKuzObtythrXc1U7P11CSBpgOCN8qpUTnFlZOSSqkMzASZNv4vHJ-DpN4xuVo_M_SvCjdFtFeg0jtOkzo3beIh8XWAAdzBah3RtqNdSUDdGmY9MC_VgqtCOn89cuV9UrRDdm3j-/s1600/XXXX_07_06.png,https://siebelil.blogspot.com/2014/05/siebel-open-ui-format-all-lists-part-1.html
11,nuevo,alta técnica,Siebel Tools — Applet User Property List,"Pantalla de Siebel Tools con grillas de repositorio, user properties, business component, project y valores técnicos.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgabNqDQzhYThSkdfB21KUYv3Gv9IPfakIqXmjxC_s2Mk2d1hHj_96I9foYbs4F3i6cEkDlBCufachNl1E53WsDickovRPwr8hBrvYlHuzJ-zWN07XFr1kGs5gPeZqRT5EdU8x1YVr5P6xQ/s1600/2014-05-03%2B13_31_27-Siebel%2BTools%2B-%2BSiebel%2BRepository%2B-%2BApplet%2BUser%2BProperty%2BList.png,https://siebelil.blogspot.com/2014/05/siebel-open-ui-format-all-lists-part-1.html
12,nuevo,media-alta,Siebel Open UI — Sales Order List con NRC Total coloreado,"Lista compacta de órdenes de venta con botones, búsqueda, selector, columnas monetarias y formato condicional.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjfpNCvvWhwdhh8mQhSX0OAebWJc1qKu7Ki9QnQ8_SwdOkAIDmzkXTYGAvKje0_AFuxoYAV4dbILztZtpNomLZZDwXd0WX6RX5oRBSj6pGkDuzdYqx8YHpcKRaI8V3xHv3CZyFblZ8E_gg8/s1600/CF6.png,https://siebelil.blogspot.com/2014/05/siebel-open-ui-format-all-lists-part-2.html
13,nuevo,alta técnica,Siebel Open UI — Manifest PM/PR Contact Form Applet,"Manifest Administration con objetos, expresiones y archivos asociados a PM/PR custom; útil como referencia de configuración engorrosa.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjznEeZbFZyZD1GB-gRk8xMMM4RzqeZfGzuD10LeR7-Nhr7gQPFQsRPlZgVY9tCgZusL_BCtUicUpb1pygsUwxNCoAM2wIB272KWBBIe0qpjb_jX9k2j2G6RCgSs5JjSwPFjy4ez3nJeSj6/?imgmax=800,https://siebel-openui.blogspot.com/2014/07/open-ui-customization-part-2.html
14,nuevo,alta,Oracle Siebel — Account List View oficial,Ejemplo oficial de list-form view: lista de cuentas arriba y form applet abajo para el registro seleccionado.,https://docs.oracle.com/cd/F14158_13/books/ConfigApps/images/AccountListView.gif,https://docs.oracle.com/cd/F14158_13/books/ConfigApps/about-views-screens-and-applications.html
15,nuevo,muy alta,Oracle Siebel — Main Elements of Application Window,"Captura oficial con banner, toolbar, view bar, visibilidad, lista, formulario e iconos comunes marcados como elementos de ventana.",https://distributorgateway.ingersollrand.com/htimprm_enu/enu/help/img/desktop.gif,https://distributorgateway.ingersollrand.com/htimprm_enu/enu/help/szfui_aboutuserinterface001.htm
16,nuevo,alta,"Oracle Siebel Mobile — Application Banner, Left Pane, Right Pane","Interfaz móvil en landscape con panel izquierdo, grilla de cuentas, form applet de detalle y callouts de banner/search/PDQ.",https://docs.oracle.com/cd/E74890_01/books/DisConnMobApps/img/appbanner2x.png,https://docs.oracle.com/cd/E74890_01/books/DisConnMobApps/connmobapps_start002.htm
